Date,Reviews,Norm_Reviews,Region
2020-08-02,3248,0.1148984627063959,Australia
2020-08-09,2450,0.08460808502562156,Australia
2020-08-16,1811,0.06035300816094136,Australia
2020-08-23,806,0.022205352059214273,Australia
2020-08-30,221,0.0,Australia
2019-06-02,5810,0.6626101066295781,East Europe
2019-06-09,5581,0.6360686138154845,East Europe
2019-06-16,6080,0.6939035697728326,East Europe
2019-06-23,6067,0.6923968474733426,East Europe
2019-06-30,5696,0.6493973110802039,East Europe
2019-07-07,5496,0.6262169680111266,East Europe
2019-07-14,6327,0.7225312934631433,East Europe
2019-07-21,6604,0.7546360686138155,East Europe
2019-07-28,6362,0.7265878535002318,East Europe
2019-08-04,6308,0.7203291608715809,East Europe
2019-08-11,6764,0.7731803430690775,East Europe
2019-08-18,7529,0.8618451553082985,East Europe
2019-08-25,6918,0.791029207232267,East Europe
2019-09-01,6093,0.6954102920723226,East Europe
2019-09-08,6020,0.6869494668521094,East Europe
2019-09-15,6394,0.7302967083912842,East Europe
2019-09-22,6673,0.7626332869726472,East Europe
2019-09-29,6687,0.7642559109874826,East Europe
2019-10-06,7212,0.8251043115438108,East Europe
2019-10-13,6735,0.7698191933240612,East Europe
2019-10-20,6542,0.7474501622624015,East Europe
2019-10-27,5990,0.6834724153917477,East Europe
2019-11-03,7010,0.8016921650440426,East Europe
2019-11-10,5323,0.6061659712563746,East Europe
2019-11-17,5037,0.5730180806675939,East Europe
2019-11-24,4643,0.5273528048215114,East Europe
2019-12-01,5050,0.5745248029670839,East Europe
2019-12-08,5062,0.5759156235512286,East Europe
2019-12-15,4956,0.5636300417246175,East Europe
2019-12-22,5062,0.5759156235512286,East Europe
2019-12-29,6274,0.7163885025498378,East Europe
2020-01-05,8721,1.0,East Europe
2020-01-12,5190,0.5907510431154381,East Europe
2020-01-19,3756,0.424547983310153,East Europe
2020-01-26,4173,0.4728789986091794,East Europe
2020-02-02,4358,0.49432081594807603,East Europe
2020-02-09,4429,0.5025498377375985,East Europe
2020-02-16,5077,0.5776541492814093,East Europe
2020-02-23,5220,0.5942280945757997,East Europe
2020-03-01,5339,0.6080203987019008,East Europe
2020-03-08,4671,0.5305980528511822,East Europe
2020-03-15,3937,0.44552619378766806,East Europe
2020-03-22,1358,0.1466156699119147,East Europe
2020-03-29,452,0.041608715808993973,East Europe
2020-04-05,369,0.031988873435326845,East Europe
2020-04-12,185,0.010662957811775614,East Europe
2020-04-19,200,0.01240148354195642,East Europe
2020-04-26,159,0.0076495132127955496,East Europe
2020-05-03,227,0.015530829856281873,East Europe
2020-05-10,217,0.014371812702828002,East Europe
2020-05-17,243,0.017385257301808066,East Europe
2020-05-24,328,0.02723690310616597,East Europe
2020-05-31,445,0.04079740380157627,East Europe
2020-06-07,533,0.05099675475197033,East Europe
2020-06-14,800,0.08194251274918869,East Europe
2020-06-21,746,0.07568382012053779,East Europe
2020-06-28,684,0.06849791376912379,East Europe
2020-07-05,93,0.0,East Europe
2019-06-02,16750,0.7263534399010863,North America
2019-06-09,15236,0.6594983661573788,North America
2019-06-16,16310,0.7069239600812506,North America
2019-06-23,16389,0.7104124348670847,North America
2019-06-30,17623,0.7649032941799876,North America
2019-07-07,20283,0.8823633312726309,North America
2019-07-14,17642,0.7657422944449351,North America
2019-07-21,18382,0.7984191468692042,North America
2019-07-28,19545,0.8497747946657246,North America
2019-08-04,19743,0.8585180605846507,North America
2019-08-11,22947,1.0,North America
2019-08-18,21067,0.9169831316788837,North America
2019-08-25,20950,0.9118166563631547,North America
2019-09-01,19567,0.8507462686567164,North America
2019-09-08,19080,0.8292413671288528,North America
2019-09-15,17305,0.7508610792192881,North America
2019-09-22,18806,0.8171421001501369,North America
2019-09-29,18189,0.7898966704936854,North America
2019-10-06,18263,0.7931643557361123,North America
2019-10-13,15666,0.6784862668904,North America
2019-10-20,18210,0.7908239865759957,North America
2019-10-27,16692,0.7237922811975624,North America
2019-11-03,16758,0.7267067031705379,North America
2019-11-10,15191,0.6575112602667138,North America
2019-11-17,14881,0.6438223085754659,North America
2019-11-24,15593,0.6752627395566546,North America
2019-12-01,15350,0.6645323677470635,North America
2019-12-08,12451,0.5365185904795549,North America
2019-12-15,11745,0.5053431069504548,North America
2019-12-22,11897,0.5120551090700345,North America
2019-12-29,14417,0.6233330389472754,North America
2020-01-05,20145,0.8762695398745916,North America
2020-01-12,10772,0.462377461803409,North America
2020-01-19,11382,0.4893137860990903,North America
2020-01-26,12686,0.5468956990196945,North America
2020-02-02,12807,0.5522388059701493,North America
2020-02-09,12915,0.5570078601077453,North America
2020-02-16,13997,0.6047867173010686,North America
2020-02-23,18612,0.8085754658659365,North America
2020-03-01,15685,0.6793252671553475,North America
2020-03-08,16753,0.7264859136271307,North America
2020-03-15,13158,0.5677382319173364,North America
2020-03-22,9532,0.4076216550384174,North America
2020-03-29,3525,0.1423650975889782,North America
2020-04-05,3682,0.14929788925196502,North America
2020-04-12,2310,0.0887132385410227,North America
2020-04-19,1700,0.06177691424534134,North America
2020-04-26,1210,0.04013953899143337,North America
2020-05-03,2014,0.07564249757131503,North America
2020-05-10,1345,0.04610085666342842,North America
2020-05-17,1321,0.045041066855073746,North America
2020-05-24,1625,0.058465071094232976,North America
2020-05-31,2153,0.08178044687803586,North America
2020-06-07,2687,0.1053607701139274,North America
2020-06-14,2884,0.11405987812417204,North America
2020-06-21,3223,0.12902940916718184,North America
